decode_step,l2_retained_fraction,policy
76,0.9962714943284375,sink_recent__budget128__sink8
77,0.9962061267048758,sink_recent__budget128__sink8
78,0.9962828490598855,sink_recent__budget128__sink8
79,0.9962439941298963,sink_recent__budget128__sink8
80,0.9962603094355574,sink_recent__budget128__sink8
81,0.9962577886619735,sink_recent__budget128__sink8
82,0.9962792494413384,sink_recent__budget128__sink8
83,0.9961101220222576,sink_recent__budget128__sink8
84,0.996105909999938,sink_recent__budget128__sink8
85,0.9958111510281874,sink_recent__budget128__sink8
86,0.9960091148898594,sink_recent__budget128__sink8
87,0.9959315508425713,sink_recent__budget128__sink8
88,0.9958973697757859,sink_recent__budget128__sink8
89,0.9960080536560584,sink_recent__budget128__sink8
90,0.9961256754498419,sink_recent__budget128__sink8
91,0.9964762425351941,sink_recent__budget128__sink8
92,0.996273030984313,sink_recent__budget128__sink8
93,0.9963341049456481,sink_recent__budget128__sink8
94,0.9962504800573028,sink_recent__budget128__sink8
95,0.997161776670447,sink_recent__budget128__sink8
96,0.9962169552737645,sink_recent__budget128__sink8
97,0.9971887088754956,sink_recent__budget128__sink8
0,0.8894581923080936,sliding_window__budget128
1,0.9993094595504045,sliding_window__budget128
2,0.9993631308486588,sliding_window__budget128
3,0.9991011017803765,sliding_window__budget128
4,0.9991748453270137,sliding_window__budget128
5,0.9990892951235695,sliding_window__budget128
6,0.9990620338384192,sliding_window__budget128
7,0.9989945016722902,sliding_window__budget128
8,0.9989220844290415,sliding_window__budget128
9,0.9990221826338448,sliding_window__budget128
10,0.9990136772502379,sliding_window__budget128
11,0.9990805356883977,sliding_window__budget128
12,0.99904734888864,sliding_window__budget128
13,0.9990502629470905,sliding_window__budget128
14,0.9990179731523147,sliding_window__budget128
15,0.9989359353532201,sliding_window__budget128
16,0.9989767828886288,sliding_window__budget128
17,0.9989816391857838,sliding_window__budget128
18,0.9989925657771489,sliding_window__budget128
19,0.999001621426309,sliding_window__budget128
20,0.9990185492886474,sliding_window__budget128
21,0.9990322627964445,sliding_window__budget128
22,0.9989915667601676,sliding_window__budget128
23,0.9990323674410176,sliding_window__budget128
24,0.9989610867393621,sliding_window__budget128
25,0.9989690696738305,sliding_window__budget128
26,0.9989540434095344,sliding_window__budget128
27,0.9990900336285798,sliding_window__budget128
28,0.9989279351319893,sliding_window__budget128
29,0.9992324393151789,sliding_window__budget128
30,0.9990017135654634,sliding_window__budget128
31,0.9991536573799434,sliding_window__budget128
32,0.9989968057053621,sliding_window__budget128
33,0.9990406784545118,sliding_window__budget128
34,0.9989687849736589,sliding_window__budget128
35,0.9990522218238367,sliding_window__budget128
36,0.9990490875988419,sliding_window__budget128
37,0.9990578099561794,sliding_window__budget128
38,0.9990152990804909,sliding_window__budget128
39,0.9990513993592761,sliding_window__budget128
40,0.998974202662033,sliding_window__budget128
41,0.999067567961643,sliding_window__budget128
42,0.999036793429814,sliding_window__budget128
43,0.9990551935412779,sliding_window__budget128
44,0.9990858432060112,sliding_window__budget128
45,0.9989694621832125,sliding_window__budget128
46,0.9987309377650997,sliding_window__budget128
47,0.9985631354530473,sliding_window__budget128
48,0.9983159401062793,sliding_window__budget128
49,0.998212274911924,sliding_window__budget128
50,0.998155834764031,sliding_window__budget128
51,0.9981964709931048,sliding_window__budget128
52,0.9981541433828391,sliding_window__budget128
53,0.9981268356527647,sliding_window__budget128
54,0.998828161651877,sliding_window__budget128
55,0.9984797522590682,sliding_window__budget128
56,0.9983915310585167,sliding_window__budget128
57,0.9985038625856607,sliding_window__budget128
58,0.998442876449279,sliding_window__budget128
59,0.998668599951119,sliding_window__budget128
60,0.9987591603992136,sliding_window__budget128
61,0.9987799527886901,sliding_window__budget128
62,0.9992064124384925,sliding_window__budget128
